monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1012 sq.ft.,Partially Furnished,"Swimming Pool, Playground, Parking, Security, Lift, Club house","Air-Cond, Cooking Allowed",Selangor,Cyberjaya,2025-01-13 16:47,109654652,,,"Off Persiaran Bestari, Cyberjaya, Selangor"
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,3,1022 sq.ft.,Fully Furnished,"Parking, Security, Lift, Playground, Jogging Track","Washing Machine, Air-Cond",Selangor,Puchong,2025-01-13 16:47,109752140,,,
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,1,1,452 sq.ft.,Partially Furnished,"Playground, Gymnasium, Swimming Pool, Lift, Barbeque area, Multipurpose hall, Parking, Security, Jogging Track","Air-Cond, Cooking Allowed",Selangor,Setia Alam,2025-01-13 16:47,107998125,,,"Jalan Setia Dagang AL U13/AL, Setia Alam, Selangor"
"RM 3,100 per month","Apartment / Condominium, For rent",Condominium,4,3,1720 sq.ft.,Fully Furnished,"Lift, Gymnasium, Multipurpose hall, Parking, Security, Playground, Swimming Pool",,Penang,Batu Maung,2025-01-13 16:46,108663208,,,"Jalan Muzium Perang, Off Jalan Batu Maung, Batu Maung, Penang"
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,4,2,1011 sq.ft.,Not Furnished,"Parking, Gymnasium, Lift, Minimart, Security, Playground, Swimming Pool",,Selangor,Batu Caves,2025-01-13 16:46,109777778,,,"Jalan Batu 7, Medan Batu Caves, Batu Caves, Selangor"
"RM 1,200 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Not Furnished,Parking,Cooking Allowed,Selangor,Bandar Mahkota Cheras,2025-01-13 16:46,109777776,,,
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,877 sq.ft.,Not Furnished,Parking,,Selangor,Puchong,2025-01-13 16:46,109777773,3.031373764038188,101.62320856477592,"Jalan Wawasan 5/3, Taman Wawasan, Puchong, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1019 sq.ft.,Fully Furnished,"Security, Barbeque area, Parking, Playground, Tennis Court, Jogging Track, Sauna, Minimart, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine, Internet",Johor,Iskandar Puteri,2025-01-13 16:45,108307692,,,"Jalan Medini Utara 3, Off Lebuh Kota Iskandar, Iskandar Puteri, Johor"
"RM 2,500 per month","House, For rent",2-storey Terraced House,3,3,1400 sq.ft.,Fully Furnished,"Parking, Playground, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bukit Mertajam,2025-01-13 16:45,109415358,,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Partially Furnished,,,Johor,Pasir Gudang,2025-01-13 16:45,109777762,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,1,1,486 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Barbeque area, Sauna, Playground, Security, Multipurpose hall, Parking",,Kuala Lumpur,Brickfields,2025-01-13 16:45,109777760,,,"Jalan Berhala, Off Jalan Sultan Abdul Samad, Brickfields, Kuala Lumpur"
"RM 1,800 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,,,Kedah,Kulim,2025-01-13 16:45,109777357,,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,1540 sq.ft.,Partially Furnished,,Air-Cond,Selangor,Cyberjaya,2025-01-13 16:45,109777466,,,
"RM 2,600 per month","House, For rent",1-storey Terraced House,3,2,2500 sq.ft.,Partially Furnished,"Playground, Parking",Cooking Allowed,Johor,Tampoi,2025-01-13 16:45,109777411,,,
"RM 4,800 per month","House, For rent",Cluster House,5,4,2800 sq.ft.,Fully Furnished,,,Johor,Horizon Hills,2025-01-13 16:45,109777463,,,
