monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Not Furnished,"Parking, Security",,"Jalan Dato Yusof Shahbudin 3, Taman Sentosa, Klang, Selangor",Selangor,Klang,2025-02-10 19:08,2025-02-11,110080402,3.00983275,101.46866652389971
"RM 2,300 per month","Apartment / Condominium, For rent",Apartment,3,2,1323 sq.ft.,Fully Furnished,"Security, Swimming Pool, Club house, Playground, Parking, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Seri Alam, Bandar Baru Seri Alam, Masai, Johor",Johor,Masai,2025-02-10 19:06,2025-02-11,110080380,1.5071805837628012,103.86215938048505
"RM 2,400 per month","Apartment / Condominium, For rent",Condominium,3,3,1203 sq.ft.,Fully Furnished,"Multipurpose hall, Playground, Barbeque area, Parking, Tennis Court, Security, Swimming Pool, Gymnasium, Squash Court, Sauna","Cooking Allowed, Washing Machine, Air-Cond","Jalan Sri Tasik Barat 1, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-10 19:05,2025-02-11,106158364,2.9139107329299647,101.66853636350791
RM 600 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Not Furnished,"Minimart, Playground",,"Lebuh Tuna, Off Jalan Tenggiri, Seberang Jaya, Penang",Penang,Seberang Jaya,2025-02-10 19:05,2025-02-11,110080367,,
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,2,1114 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Barbeque area, Playground, Parking, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bukit Belah, Teluk Kumbar Heights, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-02-10 19:05,2025-02-11,110080235,,
"RM 1,250 per month","Apartment / Condominium, For rent",Flat,4,2,750 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Playground","Washing Machine, Cooking Allowed"," Jalan Plumbum 7/95, Seksyen 7, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-10 19:05,2025-02-11,110080227,3.0681774711202476,101.48085779946253
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,3,1124 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Multipurpose hall, Gymnasium, Security, Playground",,"Jalan Budiman 22/3, Seksyen 22, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-10 19:05,2025-02-11,110080222,3.0674133145250932,101.55379554421481
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,478 sq.ft.,Fully Furnished,"Minimart, Playground, Swimming Pool, Sauna, Parking, Security, Squash Court, Lift, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Off Persiaran Sunsuria, Bandar Sunsuria, Dengkil, Selangor",Selangor,Dengkil,2025-02-10 19:04,2025-02-11,110080362,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Partially Furnished,"Playground, Barbeque area, Parking, Security, Swimming Pool, Gymnasium, Jogging Track, Lift",,"Lengkok Kelicap, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-02-10 19:04,2025-02-11,109789771,5.3025084,100.2567686
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,2,1,450 sq.ft.,Fully Furnished,"Gymnasium, Lift, Club house, Parking, Security, Playground, Swimming Pool, Tennis Court, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Equine, Taman Equine, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-02-10 19:02,2025-02-11,108755157,3.0076988,101.6798388
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,750 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Swimming Pool, Gymnasium, Lift, Security, Minimart, Playground, Jogging Track, Barbeque area",,"Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor",Johor,Tampoi,2025-02-10 19:02,2025-02-11,110080342,,
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1200 sq.ft.,Not Furnished,"Parking, Playground, Minimart",,,Selangor,Rawang,2025-02-10 19:02,2025-02-11,109840993,,
"RM 1,200 per month","House, For rent",2-storey Terraced House,4,3,1250 sq.ft.,Partially Furnished,,,,Selangor,Puncak Alam,2025-02-10 19:01,2025-02-11,109561165,,
"RM 2,650 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Not Furnished,Parking,"Air-Cond, Cooking Allowed",,Sabah,Kota Kinabalu,2025-02-10 19:01,2025-02-11,109601230,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,1100 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Jogging Track, Minimart, Multipurpose hall","Cooking Allowed, Air-Cond","Jalan Presint P11B, Presint 11, Off Lebuh Sentosa, Putrajaya, Putrajaya",Putrajaya,Putrajaya,2025-02-10 19:01,2025-02-11,110080337,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,2,1,825 sq.ft.,Partially Furnished,"Gymnasium, Barbeque area, Playground, Lift, Sauna, Security, Swimming Pool, Club house, Parking, Tennis Court, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Persiaran Mutiara Mas, Skudai, Johor",Johor,Skudai,2025-02-10 18:59,2025-02-11,109636386,,
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1260 sq.ft.,Partially Furnished,,Air-Cond,,Johor,Johor Bahru,2025-02-10 18:59,2025-02-11,109422938,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,2,947 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Multipurpose hall, Parking, Gymnasium, Security, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Harbour View, Kampung Bagan Dalam, Butterworth, Penang",Penang,Butterworth,2025-02-10 18:58,2025-02-11,109808251,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,882 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Swimming Pool",Air-Cond,"Off Jalan Rev Seet Kim Beng, Melaka Tengah, Melaka",Melaka,Melaka Tengah,2025-02-10 18:58,2025-02-11,108523536,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Not Furnished,"Lift, Playground, Parking, Security",Cooking Allowed,"Jalan MR 2, M Residence, Rawang, Selangor",Selangor,Rawang,2025-02-10 18:58,2025-02-11,109834656,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,2,868 sq.ft.,Fully Furnished,"Gymnasium, Lift, Multipurpose hall, Parking, Sauna, Playground, Security, Swimming Pool",,"Jalan Kampung Lapan, Off Jalan Tun Perak, Melaka City, Melaka",Melaka,Melaka City,2025-02-10 18:57,2025-02-11,109603199,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,4,1400 sq.ft.,Not Furnished,"Parking, Security, Playground",,,Perak,Chemor,2025-02-10 18:56,2025-02-11,110080301,,
"RM 2,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Playground, Security, Gymnasium, Lift, Multipurpose hall, Parking, Minimart, Jogging Track, Sauna","Air-Cond, Washing Machine","Persiaran Bayan Mutiara 3, Gelugor, Penang",Penang,Gelugor,2025-02-10 18:56,2025-02-11,110080300,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1270 sq.ft.,Fully Furnished,"Barbeque area, Parking, Swimming Pool, Gymnasium, Jogging Track, Sauna, Security, Playground, Lift",,"Lilitan Sungai Ara, Sungai Ara, Penang",Penang,Sungai Ara,2025-02-10 18:52,2025-02-11,109071624,5.3312322,100.2715939
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,3,1500 sq.ft.,Fully Furnished,"Jogging Track, Swimming Pool, Parking, Minimart, Gymnasium, Lift, Playground, Security, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine","Solok Bakau, Off Jalan Jelutong, Jelutong, Penang",Penang,Jelutong,2025-02-10 18:51,2025-02-11,109549195,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,971 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Gymnasium, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine","Jalan Tokoh 25/28, Taman Sri Muda, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-10 18:50,2025-02-11,110080208,3.0352568,101.5317128
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,2,2,936 sq.ft.,Partially Furnished,"Barbeque area, Gymnasium, Swimming Pool, Lift, Security, Tennis Court, Sauna, Playground, Parking, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Kuchai Jaya, Taman Kuchai Jaya, Kuchai Lama, Kuala Lumpur",Kuala Lumpur,Kuchai Lama,2025-02-10 18:50,2025-02-11,110080207,,
