monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
RM 900 per month,"Apartment / Condominium, For rent",Service Residence,1,1,556 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Swimming Pool, Gymnasium, Barbeque area, Security, Jogging Track, Playground","Air-Cond, Cooking Allowed","Off Jalan Semenyih, Semenyih, Selangor",Selangor,Semenyih,2025-01-27 18:33,109409566,2.936387445047508,101.8525682681381
"RM 1,380 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium, Minimart, Barbeque area","Air-Cond, Cooking Allowed",,Selangor,Denai Alam,2025-01-27 18:32,109546609,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Parking, Security, Playground, Swimming Pool",,"Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-27 18:31,109648483,5.45226375,100.28505003014706
RM 900 per month,"Apartment / Condominium, For rent",Apartment,1,1,405 sq.ft.,Fully Furnished,"Jogging Track, Security, Gymnasium, Multipurpose hall, Swimming Pool, Tennis Court, Playground, Lift","Air-Cond, Washing Machine","Jalan BBN 12/1, Bandar Baru Nilai, Nilai, Negeri Sembilan",Negeri Sembilan,Nilai,2025-01-27 18:30,109944198,2.8216588538629837,101.7902701759243
"RM 1,700 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Security, Gymnasium, Lift, Barbeque area, Parking, Playground, Swimming Pool, Multipurpose hall, Club house, Tennis Court",Air-Cond,"Persiaran Aspirasi, Cyber 10, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-01-27 18:29,109894162,2.8976803063045087,101.63940207012952
"RM 7,000 per month","Apartment / Condominium, For rent",Service Residence,4,4,2454 sq.ft.,Partially Furnished,"Parking, Gymnasium, Barbeque area, Security, Swimming Pool, Sauna, Lift","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Persiaran Raja Chulan, Bukit Ceylon, KLCC, Kuala Lumpur",Kuala Lumpur,KLCC,2025-01-27 18:27,109944284,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,822 sq.ft.,Partially Furnished,"Sauna, Security, Playground, Gymnasium, Jogging Track, Lift, Swimming Pool, Barbeque area, Parking, Minimart, Multipurpose hall",,"Jalan Sinar Sentul, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-27 18:23,109791187,3.1891904955224337,101.69067289992145
"RM 7,000 per month","Apartment / Condominium, For rent",Service Residence,4,4,2454 sq.ft.,Partially Furnished,"Parking, Gymnasium, Barbeque area, Security, Swimming Pool, Sauna, Lift","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Persiaran Raja Chulan, Bukit Ceylon, KLCC, Kuala Lumpur",Kuala Lumpur,KLCC,2025-01-27 18:27,109944284,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,822 sq.ft.,Partially Furnished,"Sauna, Security, Playground, Gymnasium, Jogging Track, Lift, Swimming Pool, Barbeque area, Parking, Minimart, Multipurpose hall",,"Jalan Sinar Sentul, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-27 18:23,109791187,3.1891904955224337,101.69067289992145
"RM 1,198 per month","Apartment / Condominium, For rent",Service Residence,1,1,460 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan PJU 8/1, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-01-27 18:21,109944214,3.164767983853033,101.61252145234174
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,3,3,1100 sq.ft.,Fully Furnished,"Sauna, Parking, Playground, Swimming Pool, Barbeque area, Security, Gymnasium, Lift",,"Jalan Laguna 1, Off Jalan Baru, Kampung Jawa, Perai, Penang",Penang,Perai,2025-01-27 18:16,109079316,,
