monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 3,000 per month","House, For rent",2-storey Terraced House,4,3,1800 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Dengkil,2025-01-26 22:23,109860801,,,
"RM 6,950 per month","House, For rent",Semi-Detached House,5,5,5000 sq.ft.,Fully Furnished,,,Selangor,Puchong,2025-01-26 22:20,109438619,,,
"RM 5,500 per month","House, For rent",3-storey Terraced House,6,5,1875 sq.ft.,Fully Furnished,"Minimart, Playground, Security",,Johor,Iskandar Puteri,2025-01-26 22:17,109836679,,,
"RM 3,200 per month","Apartment / Condominium, For rent",Service Residence,1,1,559 sq.ft.,Fully Furnished,"Playground, Parking, Gymnasium, Club house, Security, Lift, Swimming Pool",,Johor,Johor Bahru,2025-01-26 22:17,109452383,1.4660804421910185,103.76485714263775,"Jalan Tengku Azizah, Bukit Chagar, Johor Bahru, Johor"
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,2,2,925 sq.ft.,Fully Furnished,"Lift, Barbeque area, Security, Parking, Gymnasium, Swimming Pool, Multipurpose hall, Playground, Sauna, Minimart, Jogging Track, Club house, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Johor,Johor Bahru,2025-01-26 22:17,109918216,1.4676996579290054,103.7249724411857,"Persiaran Danga Perdana, Country Garden Danga Bay, Johor Bahru, Johor"
"RM 2,800 per month","Apartment / Condominium, For rent",Service Residence,1,1,552 sq.ft.,Fully Furnished,"Gymnasium, Parking, Security, Playground, Club house, Swimming Pool, Jogging Track, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Johor,Johor Bahru,2025-01-26 22:17,109918228,1.4456292721710593,103.93859408054762,"Jalan Tanjung Puteri 1, Tanjung Puteri, Johor Bahru, Johor"
"RM 3,200 per month","Apartment / Condominium, For rent",Service Residence,2,2,952 sq.ft.,Fully Furnished,"Gymnasium, Parking, Security, Playground, Club house, Swimming Pool, Jogging Track, Lift, Sauna, Barbeque area, Multipurpose hall, Minimart, Tennis Court","Air-Cond, Washing Machine, Cooking Allowed",Johor,Johor Bahru,2025-01-26 22:17,109918231,1.4456292721710593,103.93859408054762,"Jalan Tanjung Puteri 1, Tanjung Puteri, Johor Bahru, Johor"
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Selangor,Shah Alam,2025-01-26 22:12,107649437,3.0647791269756985,101.48606686973181,"Jalan Plumbum 7/102, Shah Alam, Selangor"
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1650 sq.ft.,Partially Furnished,Security,"Air-Cond, Cooking Allowed",Kuala Lumpur,Kepong,2025-01-26 22:10,109935577,,,
"RM 2,800 per month","House, For rent",2-storey Terraced House,4,4,2407 sq.ft.,Fully Furnished,"Parking, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Denai Alam,2025-01-26 22:10,109935568,,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,1076 sq.ft.,Fully Furnished,"Playground, Multipurpose hall, Security, Swimming Pool, Barbeque area, Parking, Gymnasium, Lift, Jogging Track, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Penang,Batu Kawan,2025-01-26 22:09,109506607,5.239692676650539,100.43292654955665,"Persiaran Cassia Barat 3, Bandar Cassia, Batu Kawan, Penang"
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,2,1,950 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Parking, Playground, Security, Swimming Pool, Gymnasium, Lift, Jogging Track",,Sarawak,Kuching,2025-01-26 22:07,109935607,1.5149924326745614,110.31617570991618,"Jalan Stapok Utama, Kuching, Sarawak"
"RM 1,500 per month","House, For rent",2-storey Terraced House,3,2,1080 sq.ft.,Partially Furnished,,"Cooking Allowed, Air-Cond",Selangor,Puchong,2025-01-26 22:07,109935606,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,883 sq.ft.,Fully Furnished,"Lift, Swimming Pool, Gymnasium, Sauna, Playground, Security, Jogging Track, Multipurpose hall, Barbeque area, Tennis Court, Squash Court, Club house, Parking","Cooking Allowed, Air-Cond, Washing Machine",Selangor,Puchong,2025-01-26 22:06,109097112,,,"alan Putra Perdana 5A, Taman Putra Perdana, Puchong, Selangor"
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Security, Playground, Lift, Multipurpose hall","Air-Cond, Cooking Allowed",Selangor,Cyberjaya,2025-01-26 22:06,108955426,2.9281982233063415,101.63341053956523,"Persiaran Sepang, Cyber 11, Cyberjaya, Selangor"
"RM 2,600 per month","House, For rent",1-storey Terraced House,3,3,1600 sq.ft.,Partially Furnished,"Security, Playground, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Seri Kembangan,2025-01-26 22:04,109507284,,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Cyberjaya,2025-01-26 22:04,109678412,,,"Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor"
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Cyberjaya,2025-01-26 22:04,109678529,,,"Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor"
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Cyberjaya,2025-01-26 22:03,109678525,,,"Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor"
"RM 2,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1280 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Barbeque area, Security, Playground, Swimming Pool, Parking, Sauna, Club house",,Penang,Tanjong Tokong,2025-01-26 21:59,109895713,,,"Jalan Desiran Tanjung 1, Seri Tanjung Pinang, Tanjong Tokong, Penang"
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1270 sq.ft.,Partially Furnished,"Squash Court, Barbeque area, Parking, Minimart, Sauna, Playground, Swimming Pool, Gymnasium, Multipurpose hall, Security",,Penang,Tanjong Tokong,2025-01-26 21:59,109895667,,,"Persiaran Halia 3, Off Jalan Mount Erskine, Tanjong Tokong, Penang"
"RM 2,800 per month","House, For rent",2-storey Terraced House,4,3,1540 sq.ft.,Partially Furnished,"Minimart, Playground, Security",,Johor,Iskandar Puteri,2025-01-26 21:57,109907923,,,
"RM 2,200 per month","House, For rent",3-storey Terraced House,4,3,2470 sq.ft.,Partially Furnished,"Minimart, Playground, Security",,Johor,Skudai,2025-01-26 21:57,109795924,,,
"RM 3,100 per month","Apartment / Condominium, For rent",Service Residence,3,1,828 sq.ft.,Partially Furnished,"Parking, Security, Jogging Track, Club house, Playground, Swimming Pool, Gymnasium",,Johor,Johor Bahru,2025-01-26 21:57,109285507,1.4456292721710593,103.93859408054762,"Jalan Tanjung Puteri 1, Tanjung Puteri, Johor Bahru, Johor"
"RM 2,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1090 sq.ft.,Fully Furnished,"Parking, Playground, Minimart, Gymnasium, Security, Swimming Pool, Lift, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Damansara Perdana,2025-01-26 21:51,109888705,3.164767983853033,101.61252145234174,"Jalan PJU 8/1, Damansara Perdana, Selangor"
"RM 2,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1300 sq.ft.,Fully Furnished,"Jogging Track, Gymnasium, Swimming Pool, Parking, Playground, Minimart, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Wangsa Maju,2025-01-26 21:51,109750979,3.1931270823436493,101.73537431671753,"Jalan Seri Wangsa 1, Taman Sri Rampai, Wangsa Maju, Kuala Lumpur"
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,1,1,300 sq.ft.,Fully Furnished,"Tennis Court, Multipurpose hall, Parking, Security, Gymnasium, Barbeque area, Lift, Playground, Jogging Track, Sauna, Swimming Pool, Minimart, Squash Court","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Setiawangsa,2025-01-26 21:51,109907648,3.177684337559281,101.73793934782941,"Jalan Taman Setiawangsa, AU2, Setiawangsa, Kuala Lumpur"
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1018 sq.ft.,Fully Furnished,"Security, Lift, Multipurpose hall, Parking, Barbeque area, Jogging Track, Playground, Gymnasium, Tennis Court, Swimming Pool, Minimart, Squash Court, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setiawangsa,2025-01-26 21:51,109907571,3.177684337559281,101.73793934782941,"Jalan Taman Setiawangsa, AU2, Setiawangsa, Kuala Lumpur"
RM 800 per month,"House, For rent",Terraced House,3,2,1100 sq.ft.,Not Furnished,Parking,Cooking Allowed,Penang,Simpang Ampat,2025-01-26 21:50,109935490,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1009 sq.ft.,Partially Furnished,"Lift, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Parking, Minimart, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sentul,2025-01-26 21:49,109269575,,,"Jalan Sentul Pasar, Sentul Pasar, Sentul, Kuala Lumpur"
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Partially Furnished,"Parking, Security, Playground, Jogging Track","Air-Cond, Cooking Allowed, Internet",Selangor,Bandar Mahkota Cheras,2025-01-26 21:48,109935533,,,
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,2,2,790 sq.ft.,Fully Furnished,"Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Security, Parking, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Johor,Johor Bahru,2025-01-26 21:47,109935530,,,"Jalan Storey, Bukit Senyum, Johor Bahru, Johor"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,1,1,400 sq.ft.,Fully Furnished,"Barbeque area, Playground, Lift, Security, Tennis Court, Multipurpose hall, Swimming Pool, Gymnasium, Parking","Air-Cond, Washing Machine, Cooking Allowed",Johor,Johor Bahru,2025-01-26 21:46,109935529,1.5012358561952133,103.78868238700376,"Jalan Bayu Puteri 2, Taman Bayu Puteri, Johor Bahru, Johor"
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Fully Furnished,"Parking, Playground, Security","Air-Cond, Cooking Allowed, Washing Machine",Penang,Batu Ferringhi,2025-01-26 21:46,109572727,5.475775097177312,100.25402889547698,"Persiaran Sungai Emas, Batu Ferringhi, Penang"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,1,1,600 sq.ft.,Fully Furnished,"Security, Parking, Lift, Swimming Pool, Gymnasium, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,2025-01-26 21:45,109166485,3.09846955,101.7118238,"Jalan Sri Permaisuri, Bandar Sri Permaisuri, Cheras, Kuala Lumpur"
RM 950 per month,"House, For rent",1-storey Terraced House,3,2,1000 sq.ft.,Partially Furnished,Parking,Cooking Allowed,Penang,Simpang Ampat,2025-01-26 21:45,109935479,,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,963 sq.ft.,Fully Furnished,"Security, Playground, Swimming Pool, Jogging Track, Tennis Court, Barbeque area, Parking, Lift, Gymnasium, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Johor,Johor Bahru,2025-01-26 21:44,108272207,,,"Jalan Tengku Puteri 1, Straits View, Johor Bahru, Johor"
RM 700 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Not Furnished,"Parking, Playground","Near KTM/LRT, Cooking Allowed",Selangor,Klang,2025-01-26 21:43,109588797,3.083149701636462,101.42925490285707,"Jalan Gamelan, Bandar Bukit Raja, Klang, Selangor"
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,4,2,1033 sq.ft.,Partially Furnished,"Security, Tennis Court, Parking, Swimming Pool, Jogging Track, Playground","Cooking Allowed, Near KTM/LRT",Selangor,Ampang,2025-01-26 21:41,109823013,3.1437910873402237,101.75887641963479,"Jalan Cahaya 13, Taman Cahaya,, Ampang, Selangor"
"RM 3,000 per month","House, For rent",2-storey Terraced House,4,3,3000 sq.ft.,Fully Furnished,"Parking, Security","Air-Cond, Cooking Allowed",Penang,Sungai Ara,2025-01-26 21:35,109530160,,,
"RM 2,599 per month","House, For rent",2-storey Terraced House,5,2,4500 sq.ft.,Not Furnished,"Parking, Playground, Barbeque area",Cooking Allowed,Penang,Sungai Ara,2025-01-26 21:35,109380529,,,
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,1900 sq.ft.,Partially Furnished,Parking,"Air-Cond, Cooking Allowed",Penang,Batu Maung,2025-01-26 21:35,109764931,,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,900 sq.ft.,Fully Furnished,"Gymnasium, Squash Court, Multipurpose hall, Jogging Track, Lift, Playground, Swimming Pool, Security, Minimart",,Penang,Bayan Lepas,2025-01-26 21:35,109935438,,,"Jalan Sungai Tiram 8, Off Jalan Tun Dr Awang, Bayan Lepas, Penang"
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,813 sq.ft.,Partially Furnished,"Gymnasium, Parking, Jogging Track, Security, Swimming Pool, Barbeque area, Playground, Lift",,Selangor,Setia Alam,2025-01-26 21:30,109935431,,,"No.2, Jalan Setia Gemilang U13/45C, Bandar Setia Alam, Setia Alam, Selangor"
"RM 4,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,980 sq.ft.,Fully Furnished,"Security, Minimart, Parking, Gymnasium, Swimming Pool, Lift, Playground, Jogging Track",Cooking Allowed,Penang,Jelutong,2025-01-26 21:29,109781331,5.4016431359530594,100.32459566000567,"Lebuh Sungai Pinang 6, Jelutong, Penang"
"RM 6,000 per month","Apartment / Condominium, For rent",Condominium,4,5,3580 sq.ft.,Not Furnished,"Parking, Security, Minimart, Swimming Pool, Club house, Lift",,Sabah,Kota Kinabalu,2025-01-26 21:25,108234979,,,"Off Jalan UMS, 1 Borneo Hypermall, Kota Kinabalu, Sabah"
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1400 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Swimming Pool, Squash Court, Security, Lift, Gymnasium, Tennis Court, Multipurpose hall, Parking, Playground, Jogging Track, Club house, Minimart",,Johor,Johor Bahru,2025-01-26 21:24,109935449,,,"Jalan Dato Abdullah Tahir, Taman Abad, Johor Bahru, Johor"
RM 650 per month,"Apartment / Condominium, For rent",Apartment,1,1,80 sq.ft.,Fully Furnished,"Security, Playground, Lift, Parking","Cooking Allowed, Washing Machine, Air-Cond, Internet",Johor,Johor Bahru,2025-01-26 21:22,109247216,1.5003389975520924,103.78924326722266,"Jalan Bayu Puteri 2, Johor Bahru, Johor"
"RM 5,000 per month","Apartment / Condominium, For rent",Condominium,3,3,1324 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",,Putrajaya,Putrajaya,2025-01-26 21:19,109775938,,,"Off Lebuh IRC, IOI Resort, Putrajaya, Putrajaya"
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,3,1045 sq.ft.,Partially Furnished,"Sauna, Playground, Swimming Pool, Gymnasium, Barbeque area, Club house, Security, Parking, Minimart, Squash Court, Lift","Air-Cond, Cooking Allowed",Selangor,Kajang,2025-01-26 21:19,109358322,2.898835754605394,101.79260608154989,"Jalan Bangi Avenue 6, Bangi Avenue, Kajang, Selangor"
"RM 3,000 per month","Apartment / Condominium, For rent",Service Residence,3,3,1636 sq.ft.,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Multipurpose hall","Air-Cond, Washing Machine, Cooking Allowed",Sabah,Kota Kinabalu,2025-01-26 21:12,107954093,,,"Jalan Senja, Kampung Darau, Kota Kinabalu, Sabah"
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,4,3,2637 sq.ft.,Partially Furnished,"Parking, Tennis Court, Swimming Pool, Security, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine",Sabah,Kota Kinabalu,2025-01-26 21:12,108580715,5.990295333576431,116.08313746978367,"No.93, Jalan Bukit Bendera Lower, Signal Hill, Kota Kinabalu, Sabah"
"RM 2,400 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Fully Furnished,"Parking, Playground","Air-Cond, Cooking Allowed, Washing Machine",Sabah,Penampang,2025-01-26 21:12,109329144,,,
"RM 7,000 per month","Apartment / Condominium, For rent",Condominium,4,5,3132 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Tennis Court, Security, Squash Court, Parking, Jogging Track",,Penang,Gelugor,2025-01-26 21:10,109935344,,,"Off Jalan Pantai Sinaran, Gelugor, Penang"
"RM 2,300 per month","Apartment / Condominium, For rent",Apartment,2,2,799 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Gymnasium, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Brickfields,2025-01-26 21:09,109533249,,,"Jalan Thamby Abdullah 1, Off Jalan Tun Sambanthan 1, Brickfields, Kuala Lumpur"
"RM 2,200 per month","House, For rent",1-storey Terraced House,4,2,1400 sq.ft.,Fully Furnished,,,Johor,Tebrau,2025-01-26 21:08,109935405,,,
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,2,2,858 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Security, Parking, Lift, Minimart, Barbeque area","Air-Cond, Washing Machine, Cooking Allowed",Johor,Johor Bahru,2025-01-26 21:08,109173048,1.5711551,103.7735115,"Jalan Setia 12/5, Taman Setia Indah, Johor Bahru, Johor"
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,2,2,920 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Playground, Jogging Track, Barbeque area, Parking, Security, Gymnasium",,Johor,Tampoi,2025-01-26 21:05,109935390,1.5062114000000002,103.72902265006104,"Jalan Tampoi, Kawasan Perindustrian Tampoi, Tampoi, Johor"
"RM 7,000 per month","House, For rent",2-storey Terraced House,5,6,3080 sq.ft.,Fully Furnished,"Parking, Minimart",,Selangor,Bandar Mahkota Cheras,2025-01-26 21:05,109935335,,,
"RM 28,000 per month","House, For rent",Bungalow House,8,More than 10,15000 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Playground, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Kajang,2025-01-26 21:05,109935333,,,
"RM 3,000 per month","House, For rent",3-storey Terraced House,5,4,3264 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Playground","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Kajang,2025-01-26 21:05,109935330,,,
RM 880 per month,"Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Parking, Playground, Multipurpose hall, Security, Lift, Minimart",Cooking Allowed,Selangor,Petaling Jaya,2025-01-26 21:04,109935387,3.0737111016059746,101.61064157220679,"Jalan PJS 9/1, Bandar Sunway, Petaling Jaya, Selangor"
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,4,3,1800 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Barbeque area, Lift, Security, Playground, Multipurpose hall, Parking, Sauna, Jogging Track, Squash Court, Tennis Court, Club house, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet",Penang,Bayan Lepas,2025-01-26 21:02,108259865,,,"Changkat Batu Maung 1, Batu Maung, Bayan Lepas, Penang"
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,1540 sq.ft.,Fully Furnished,,,Melaka,Cheng,2025-01-26 21:01,108654141,,,
"RM 1,600 per month","House, For rent",3-storey Terraced House,4,4,2240 sq.ft.,Not Furnished,Parking,Cooking Allowed,Penang,Simpang Ampat,2025-01-26 21:01,109118493,,,
"RM 1,600 per month","House, For rent",Semi-Detached House,4,3,2190 sq.ft.,Not Furnished,"Parking, Playground",Cooking Allowed,Penang,Simpang Ampat,2025-01-26 21:00,108989374,,,
"RM 2,600 per month","Apartment / Condominium, For rent",Service Residence,2,2,685 sq.ft.,Fully Furnished,"Playground, Parking, Swimming Pool, Sauna, Gymnasium, Lift, Security","Air-Cond, Cooking Allowed, Washing Machine",Sabah,Kota Kinabalu,2025-01-26 20:51,109766853,,,"Jalan Cyber City, Kota Kinabalu, Sabah"
RM 850 per month,"Apartment / Condominium, For rent",Condominium,1,1,300 sq.ft.,Fully Furnished,"Security, Playground, Parking, Swimming Pool, Gymnasium, Lift, Multipurpose hall, Tennis Court, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine, Internet",Sabah,Kota Kinabalu,2025-01-26 20:51,109788017,,,"Jalan Banjaran, Taman Ramai, Kota Kinabalu, Sabah"
"RM 4,000 per month","Apartment / Condominium, For rent",Condominium,2,2,956 sq.ft.,Partially Furnished,"Security, Playground, Sauna, Swimming Pool, Gymnasium, Minimart, Tennis Court, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Sabah,Kota Kinabalu,2025-01-26 20:51,107658967,,,"Jalan Haji Saman, Off Jalan Tun Fuad Stephen, Kota Kinabalu, Sabah"
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,890 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track, Multipurpose hall","Air-Cond, Near KTM/LRT, Cooking Allowed",Selangor,Klang,2025-01-26 20:50,109935261,,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,1,1,750 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Parking, Security, Playground, Minimart, Club house, Jogging Track",Cooking Allowed,Pahang,Bentong,2025-01-26 20:50,109935259,3.349103,101.8217663,"Bukit Tinggi, Bentong, Pahang"
"RM 1,300 per month","House, For rent",1-storey Terraced House,3,2,1500 sq.ft.,Partially Furnished,Parking,"Cooking Allowed, Internet",Selangor,Shah Alam,2025-01-26 20:49,109935300,,,
"RM 2,400 per month","Apartment / Condominium, For rent",Service Residence,4,2,1351 sq.ft.,Partially Furnished,"Parking, Playground, Gymnasium, Jogging Track, Security, Minimart, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Squash Court, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Shah Alam,2025-01-26 20:47,109749394,,,"Off Persiaran Dato Menteri, Vista Alam, Seksyen 14, Shah Alam, Selangor"
"RM 5,500 per month","House, For rent",2-storey Terraced House,5,5,5619 sq.ft.,Not Furnished,"Security, Playground",,Selangor,Cyberjaya,2025-01-26 20:45,109800049,,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Swimming Pool, Security, Gymnasium, Parking, Playground, Barbeque area, Multipurpose hall, Minimart, Jogging Track",Cooking Allowed,Selangor,Puncak Alam,2025-01-26 20:45,109725237,,,"Bandar Alam Suria, Puncak Alam, Selangor"
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-26 20:45,109935233,5.3374074,100.3099021,"Persiaran Bayan Indah 2, Bayan Lepas, Penang"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,2,2,615 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-26 20:45,109935227,,,"Off Persiaran Byan Indah, Bayan Lepas, Penang"
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,865 sq.ft.,Fully Furnished,"Jogging Track, Barbeque area, Parking, Sauna, Security, Minimart, Swimming Pool, Gymnasium",,Melaka,Ayer Keroh,2025-01-26 20:45,106777308,,,"Jalan MH Utama, Taman Muzaffar Heights, Ayer Keroh, Melaka"
"RM 1,250 per month","Apartment / Condominium, For rent",Condominium,3,2,1020 sq.ft.,Partially Furnished,,,Selangor,Puchong,2025-01-26 20:38,109781771,3.0108269,101.6137308,"Jalan Puchong Batu 13 1/2, Puchong, Selangor"
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,2,2,950 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Gymnasium, Lift, Playground, Sauna, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Sabah,Kota Kinabalu,2025-01-26 20:35,109935153,5.996557728197698,116.09020640944601,"Jalan Signal Hill Park, Kota Kinabalu, Sabah"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,850 sq.ft.,Fully Furnished,"Parking, Tennis Court, Security, Swimming Pool, Lift, Gymnasium, Multipurpose hall, Playground",,Johor,Johor Bahru,2025-01-26 20:32,109895642,1.4623036,103.7303918,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor"
"RM 1,700 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Air-Cond, Internet",Selangor,Damansara Perdana,2025-01-26 20:31,108823342,,,
"RM 1,200 per month","House, For rent",2-storey Terraced House,4,2,1000 sq.ft.,Partially Furnished,"Parking, Minimart","Air-Cond, Cooking Allowed, Internet",Selangor,Klang,2025-01-26 20:30,109935147,,,
