monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,state,region,publishedDatetime,ads_id,latitude,longitude,additional_facilities,address
"RM 1,200 per month","Apartment / Condominium, For rent",Townhouse Condo,4,4,1000 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Club house",Perak,Kampar,2025-01-28 14:35,109949763,,,"Air-Cond, Washing Machine, Internet","Lorong Makmur 11C, Off, Persiaran Agacia 1, Bandar Agacia, Kampar, Perak"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,2,1,622 sq.ft.,Fully Furnished,"Squash Court, Parking, Gymnasium, Jogging Track, Playground, Swimming Pool, Security, Minimart, Lift",Selangor,Shah Alam,2025-01-28 14:35,109049555,3.078268230784844,101.54296069241275,"Air-Cond, Cooking Allowed, Washing Machine, Internet","Jalan Akuatik, Seksyen 13, Shah Alam, Selangor"
"RM 1,400 per month","House, For rent",1-storey Terraced House,3,2,2548 sq.ft.,Not Furnished,"Playground, Minimart",Johor,Skudai,2025-01-28 14:35,109949758,,,"Air-Cond, Cooking Allowed, Washing Machine",
"RM 1,600 per month","House, For rent",2-storey Terraced House,4,4,1980 sq.ft.,Partially Furnished,"Playground, Jogging Track, Security",Kedah,Jitra,2025-01-28 14:34,109949752,,,"Air-Cond, Washing Machine",
RM 500 per month,"Apartment / Condominium, For rent",Apartment / Flat,,,123 sq.ft.,Fully Furnished,"Parking, Security, Minimart",Kelantan,Kubang Kerian,2025-01-28 14:33,109949748,,,"Cooking Allowed, Washing Machine",
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1511 sq.ft.,Partially Furnished,"Parking, Security, Playground, Jogging Track",Selangor,Puncak Alam,2025-01-28 14:33,109949740,,,Cooking Allowed,
RM 800 per month,"House, For rent",1-storey Terraced House,3,2,1400 sq.ft.,Partially Furnished,"Parking, Security, Playground, Minimart, Jogging Track",Perak,Ipoh,2025-01-28 14:33,109949739,,,"Air-Cond, Cooking Allowed",
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1224 sq.ft.,Not Furnished,"Minimart, Playground, Lift, Security, Parking, Swimming Pool, Gymnasium",Kuala Lumpur,Bukit Jalil,2025-01-28 14:30,109028269,,,,"Jalan Jalil Perkasa 19, Bandar Bukit Jalil, Bukit Jalil, Kuala Lumpur"
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,2,2,929 sq.ft.,Fully Furnished,"Parking, Playground, Barbeque area, Sauna, Minimart, Swimming Pool, Tennis Court, Squash Court, Club house, Security, Gymnasium, Jogging Track, Lift, Multipurpose hall",Selangor,Cyberjaya,2025-01-28 14:30,107967924,2.942017447705054,101.66283866369776,"Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Teknokrat 1, Cyberjaya, Selangor"
"RM 3,500 per month","House, For rent",Semi-Detached House,7,5,3400 sq.ft.,Partially Furnished,"Parking, Security, Playground",Selangor,Bangi,2025-01-28 14:28,109949659,,,"Air-Cond, Cooking Allowed, Near KTM/LRT",
"RM 4,400 per month","Apartment / Condominium, For rent",Condominium,2,2,1371 sq.ft.,Fully Furnished,"Security, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Parking, Lift",Penang,Tanjong Tokong,2025-01-28 14:26,109230987,,,,"Lorong Seri Tanjung Pinang, Off Jalan Seri Tanjung Pinang, Tanjong Tokong, Penang"
RM 999 per month,"Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Not Furnished,,Putrajaya,Putrajaya,2025-01-28 14:25,109863077,,,Cooking Allowed,
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,2,1,600 sq.ft.,Fully Furnished,"Swimming Pool, Playground, Lift, Multipurpose hall, Jogging Track, Parking, Security, Gymnasium",Selangor,Kajang,2025-01-28 14:25,109949403,2.9600519,101.79473955,"Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor"
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,1100 sq.ft.,Fully Furnished,"Playground, Security, Parking, Lift",Selangor,Kajang,2025-01-28 14:24,108674017,,,"Air-Cond, Cooking Allowed, Near KTM/LRT","Off Jalan Bistari, Taman Tropika, Kajang, Selangor"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,1012 sq.ft.,Partially Furnished,"Jogging Track, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Security, Playground, Lift, Barbeque area",Penang,Jelutong,2025-01-28 14:21,109771627,5.4016431359530594,100.32459566000567,Cooking Allowed,"Lebuh Sungai Pinang 1, Jelutong, Penang"
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1350 sq.ft.,Partially Furnished,"Security, Gymnasium, Barbeque area, Swimming Pool, Playground, Jogging Track, Parking",Penang,Bayan Lepas,2025-01-28 14:21,109847801,,,,"Jalan Bukit Gemuruh, Kampung Tengah, Bayan Lepas, Penang"
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,3,1179 sq.ft.,Fully Furnished,"Security, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Tennis Court, Gymnasium, Parking, Lift",Penang,Gelugor,2025-01-28 14:21,109387997,,,"Air-Cond, Cooking Allowed, Washing Machine","Lebuh Tunku Kudin 2, Gelugor, Penang"
RM 450 per month,"House, For rent",1-storey Terraced House,1,1,450 sq.ft.,Not Furnished,Parking,Selangor,Shah Alam,2025-01-28 14:20,109949460,,,Near KTM/LRT,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,2,2,550 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",Selangor,Bangi,2025-01-28 14:20,109949455,,,,"Jalan BBLS 1, Southville City, Bangi, Selangor"
RM 950 per month,"House, For rent",2-storey Terraced House,3,2,950 sq.ft.,Partially Furnished,"Parking, Playground",Sabah,Papar,2025-01-28 14:19,109949450,,,"Air-Cond, Cooking Allowed, Washing Machine",
