ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
106088633,De Kiara,2020,"RM 1,100 per month",Selangor - Setia Alam,Apartment,3,2,2,850 sq.ft.,Not Furnished,"Security, Lift, Playground, Parking",
106088595,Putra Indah Apartment,,RM 750 per month,Selangor - Seri Kembangan,Apartment,4,1,2,850 sq.ft.,Not Furnished,"Playground, Security","Air-Cond, Cooking Allowed"
106088577,Residensi Youth City,,RM 700 per month,Selangor - Cyberjaya,Condominium,2,1,2,735 sq.ft.,Not Furnished,"Parking, Gymnasium, Security, Club house, Jogging Track, Tennis Court, Barbeque area, Lift, Swimming Pool, Minimart, Squash Court, Multipurpose hall, Playground","Cooking Allowed, Near KTM/LRT"
105887105,Duduk Se.Ruang @ Eco Sanctuary,2023,"RM 2,000 per month",Selangor - Kuala Langat,Service Residence,3,2,2,1000 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Playground, Security","Air-Cond, Washing Machine"
106051272,Pangsapuri Perdana Villa,,RM 850 per month,Selangor - Klang,Apartment,3,1,2,1700 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Swimming Pool",Cooking Allowed
106022762,Huni @ Eco Ardence,2023,"RM 1,600 per month",Selangor - Setia Alam,Service Residence,3,,2,1000 sq.ft.,Partially Furnished,"Lift, Club house, Swimming Pool, Sauna, Playground, Barbeque area, Jogging Track, Security, Gymnasium, Parking",
106087858,Siantan Apartment,,RM 600 per month,Selangor - Puchong,Apartment,3,,1,650 sq.ft.,Partially Furnished,Parking,
105908851,Vista Apartment,,RM 750 per month,Selangor - Petaling Jaya,Apartment,3,2,2,650 sq.ft.,Not Furnished,Parking,Cooking Allowed
106087715,i-Soho @ i-City,,"RM 1,600 per month",Selangor - Shah Alam,Studio,1,,1,566 sq.ft.,Fully Furnished,"Security, Parking, Minimart, Gymnasium",
106087698,Kenwingston Square Garden,2020,"RM 1,150 per month",Selangor - Cyberjaya,Service Residence,1,,1,450 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Security, Gymnasium, Jogging Track, Playground, Lift, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet"
105699810,Alam Budiman (Sri Budiman),2015,"RM 1,300 per month",Selangor - Setia Alam,Apartment,3,1,2,850 sq.ft.,Partially Furnished,"Jogging Track, Multipurpose hall, Parking, Playground, Security",
