ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105971731,Bay Resort Condominium,,"RM 1,500 per month",Sarawak - Miri,Condominium,1,,1,418 sq.ft.,Fully Furnished,"Swimming Pool, Security, Lift, Parking",
104173977,Imas village Apartment,,"RM 1,000 per month",Sarawak - Kota Samarahan,Apartment,3,1,2,850 sq.ft.,Fully Furnished,"Parking, Security","Air-Cond, Cooking Allowed"
105969078,Rivervale Condominium,,"RM 2,400 per month",Sarawak - Kuching,Condominium,2,1,2,953 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Security, Playground, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine"
105966341,The Glen,2023,"RM 1,200 per month",Sarawak - Kuching,Apartment,2,1,2,875 sq.ft.,Partially Furnished,"Parking, Security, Lift, Minimart",
105808526,Residensi PR1MA Bintawa Riverfront,2020,"RM 1,000 per month",Sarawak - Kuching,Condominium,3,,2,948 sq.ft.,Partially Furnished,"Security, Parking, Multipurpose hall, Playground, Swimming Pool, Lift",
105965221,Kensho Townhouse,,"RM 1,600 per month",Sarawak - Kuching,Townhouse Condo,3,2,3,1170 sq.ft.,Partially Furnished,"Parking, Security",
105961821,The Glen,2023,"RM 1,200 per month",Sarawak - Kuching,Apartment,2,1,1,700 sq.ft.,Partially Furnished,"Parking, Gymnasium, Security, Lift, Playground",Cooking Allowed
105960653,Riverine Diamond,2022,"RM 2,500 per month",Sarawak - Kuching,Condominium,2,,1,800 sq.ft.,Fully Furnished,"Security, Jogging Track, Parking, Swimming Pool, Barbeque area, Gymnasium, Lift, Multipurpose hall, Playground, Sauna",
105958011,My Habitat Apartment,,"RM 1,800 per month",Sarawak - Bintulu,Apartment,3,,2,1247 sq.ft.,Partially Furnished,"Lift, Barbeque area, Gymnasium, Security, Parking, Playground",
105955868,Riverine Diamond,2022,"RM 1,600 per month",Sarawak - Kuching,Condominium,1,,1,818 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Swimming Pool, Jogging Track, Lift, Barbeque area, Sauna, Security, Playground, Gymnasium",
105955844,The Arcardia,2010,"RM 2,300 per month",Sarawak - Kuching,Apartment,3,1,2,1658 sq.ft.,Fully Furnished,"Parking, Security",
105955085,Avona Residence,,"RM 2,000 per month",Sarawak - Kuching,Service Residence,1,,1,700 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Gymnasium, Tennis Court, Playground",
105951046,Vantage @ Tamu,2022,"RM 2,500 per month",Sarawak - Kuching,Condominium,3,1,2,933 sq.ft.,Fully Furnished,"Lift, Security, Gymnasium, Barbeque area, Parking, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine"
105950652,Rivervale Condominium,,"RM 2,500 per month",Sarawak - Kuching,Condominium,2,,2,1192 sq.ft.,Fully Furnished,"Barbeque area, Parking, Swimming Pool, Playground, Gymnasium, Security","Air-Cond, Cooking Allowed, Washing Machine"
101664625,Residensi Matang,2018,"RM 1,300 per month",Sarawak - Kuching,Apartment,3,1,2,980 sq.ft.,Not Furnished,"Parking, Security, Playground, Lift",
105947727,The Podium,2022,"RM 3,000 per month",Sarawak - Kuching,Apartment,3,,3,1400 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Barbeque area, Gymnasium, Lift, Sauna, Swimming Pool",
105058578,Zen 66 Apartment,2018,"RM 1,800 per month",Sarawak - Kuching,Apartment,2,1,1,850 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Swimming Pool, Gymnasium, Lift, Security, Playground, Sauna","Air-Cond, Cooking Allowed, Washing Machine"
